Inventory ID,Title,Person responsible,Others involved,Required work,Target completion date,Program to follow-up with (SH/BCCH program responsible),External,Author(s) (or name of org. if no author),Date created,"Date of last update (©related to website that is linked, not necessarily the resource)",Link,Date Link Checked,Target Audience,File Format,Master Tag (Level 1),Level 2A,Level 3A,Level 4A,Level 2B,Level 3B,Level 4B,Level 2C,Level 3C,Level 4C,Description,Health condition,Area of Focus,Keywords (see tags tab for information),Learning Event?  (Y/N),Corresponding clinician/parent resource,Sibling resources e.g. next steps,Notes,Person recommending,Age,Location
204,Cerebral Visual Impairment,Maddy,,,,Visual Impairment,External,National Eye Institute,,,"https://www.nei.nih.gov/learn-about-eye-health/eye-conditions-and-diseases/cerebral-visual-impairment-cvi#:~:text=Cerebral%20visual%20impairment%20(sometimes%20called,but%20can%20continue%20into%20adulthood.",27-Jan-22,"families, caregivers, clinicians",web link,Assessment,Learn About Health Conditions,,,,,,,,,General information on Cerebral Visual Impairment (CVI),cerebral visual impairment,vision,"vision, symptoms, causes, diagnosis, treatment, research ",N,,,,,,
206,Challenger Baseball,Tanja,Amber P./Andrea,Integrate evidence and update for currency,,,External,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Champions for Change: A Guide to Effective Advocacy,Claire,,,,,External,Representative for Children and Youth,,,https://rcybc.ca/reports-and-publications/reports/general-reports/champions-for-change/,,,,,,,,,,,,,,,,,,,,,,Mandy Y. ,,
208,Chapter 11: Children with Acquired Brain Injury: Government of Alberta,Claire,,,,? Acute Rehabilitation,External,Alberta Government,,,Alberta Brain Injury Initiative Survival Guide,"September 7, 2021","families, caregivers, clinicians",,,,,,,,,,,,Resource that includes a section for children with a brain injury,,,,,,,,Kim,,
209,Chartered Society of PT Outcome Measures Database (UK),Stephanie  ,,"Not clear website to navigate, had to use search bar to find Ax,",,,External,,,,,,,,,,,,,,,,,,Database of measures,,,,,,,,,,
210,Child & Youth Mental Health ,Steph,,,,,External,Government of British Columbia,,,https://www2.gov.bc.ca/gov/content/health/managing-your-health/mental-health-substance-use/child-teen-mental-health,"August 4, 2021","families, caregivers, clinicians",Web link,,,,,,,,,,,"The Ministry of Children and Family Development's Child and Youth Mental Health (CYMH) teams located across B.C. provide a range of mental health assessment and treatment options for children and youth (0-18 years of age) and their families at no cost. Our clinics are staffed by mental health clinicians, psychologists, and psychiatrists.",,mental health,"community-based, children, youth, families, voluntary, significiant difficulties related to thoughts, feeldings, behaviours, Indigenous children, Indigenous youth, specialized services, programs, services, referral, intake services, screening, interview, initial supports, service plan, linkages, initial services, early interventions, assessment services, holistic, specialized assessment, clinicial diagnostic interview, diagnosis, therapy, intervention services, treatment plan, individual, family, group, psychotherapeutic interventions, consultation services, mental health information, advice, service providers, families, caregivers, build capacity, support problem-solving, feelings of anxiety, low or cycling moods, behaviour difficulties, self-harm, suicidal thoughts, suicidal behaviour, trauma, suicidal behavior, maples adolescent treatment centre, youth forensic psychiatric services",N,N,N,flowchart,,All,BC
211,Child & Youth Mental Health Intake Clinics,Claire,,,,,External,Government of British Columbia,,,https://www2.gov.bc.ca/gov/content/health/managing-your-health/mental-health-substance-use/child-teen-mental-health/mental-health-intake-clinics,"August 3, 2021","Families, caregivers, children/youth, clinicians",web link,,,,,,,,,,,List of walk in clinics in BC for mental health,mental health,mental health,"navigating the health care system, intake, clinics, mental health supports, mental health services, free, Mental health and behaviour supports and programs",N,,,,,All,BC
212,"Child and Adolescent Scale of Participation (CASP) (Parent, Adolescent versions)",Debbie,,,,,Internal – Evidence Centre,"Gary Bedell & Helene Dumas (parent version);Janette McDougall, Gary Bedell & Virgina Wright (youth version) ",Tool 2011,,see Ax Info Card spreadsheet for associated links,Sept 13-21,"clinicians, researchers",Ax Toolkit Entry,Assessment,Learn About Assessments,Assessment Toolkit,,,,,,,,"measures home, school, community participation along with home and community activity living skills and factors that help or hinder including assistive devices. Available in two versions: parent and adolescent report.",All,"Personal care, home routines, Play, recreation, physical activity, Behaviour, emotion, social skills","home, school, community, living skills, assistive devices, evaluation, communication, social skills, activities of daily living, ADL,",N,N,,,Debbie,School Age (5-19 years),
213,Child and Family Services Search,Claire,,,,,External,Government of British Columbia,,,https://www2.gov.bc.ca/gov/search?q=special+needs%2Binmeta%3Acfdsda_cfdServices%3DChild%2FYouth+Special+Needs&id=3101EE72823047269017D08E55AF6441&tab=1,"August 4, 2021","Families, caregivers, clinicians, educators",web link,,,,,,,,,,,A list of children and family services offices in British Columbia,various disabilities,,"navigating the health care system, contact information, youth justice, intake, guardianship, family services, child/youth special needs, child/youth mental health, child protection, adoption, adolescent services, aboriginal, indigenous",N,,,,BCAAN,All,BC
214,Child Care Resources & Referral Centres,Claire,,,,,External,Government of British Columbia,,,https://www2.gov.bc.ca/gov/content/family-social-supports/caring-for-young-children/how-to-access-child-care/child-care-resource-referral-centre,"August 6, 2021","families, caregivers, clinicians",web link,,,,,,,,,,,"Child Care Resource and Referral (CCRR) centres make it easier for families to find and access responsive and inclusive quality licensed and registered child care by providing information, support, resources and referral services to parents and child care providers across the province",,,"Ministry of Children and Family Development, funding, government, accessibility, affordability, quality, child care, British Columbia communities, BC communities, BC, referral program, family support, early years services, child care services, referrals, child care providers, community services, quality resources, lending libraries, workshops, drop-in programs, and provide consultation, support and parenting information, information, reousrces, training, providers, workshops and training, networking opportunities, supportive program outreach, access to lending libraries, referrals to community resources, drop-in programs, listing in a registry of licensed and Licence-Not-Required child care providers, License-Not-Required child care providers, registered, training, additional support, process, CCDR offices, Aboriginal Child Care Resource and Referral, Indigenous, North, Vancouver Coastal, Interior, Vancouver Island, Fraser Valley, Child Care Referral Service, infant to 12 years, apply for child care funding, affordable child care benefit, child care fee reduction initiative, young parent program, access to training in your community",Y,N,N,,,"Infant/Toddler, Early Years, School Age",BC
215,Child disability benefit: Government of Canada,Claire,,,,,External,Government of Canada,,,https://www.canada.ca/en/revenue-agency/services/child-family-benefits/child-disability-benefit.html,26-May-21,"families, caregivers, clinicians, educators",web link,,,,,,,,,,,Information about the child disability benefit (CDB),various disabilities,,"tax-free, payment, families, severe and prolonged impairment in physical or mental functions, canada child benefit (CCB), disability tax credit (DTC), tax credits, deductions, persons with disabilities",N,,,,BCAAN,All,Canada-Wide
216,Child Engagement in Daily Life Measure (Version 2),Debbie,,,,,Internal – Evidence Centre,"Lisa A. Chiarello, Robert J. Palisano, Sally Westcott McCoy, and Doreen J. Bartlett",Tool 2013,Tool 2017,see Ax Info Card spreadsheet for associated links,Sept 10-21,Clinicians,Ax Toolkit Entry,Assessment,Learn About Assessments,Assessment Toolkit,,,,,,,,evaluates children's participation in family and recreational activities and self-care.,All,"Play, recreation, physical activity, Personal care, home routines","home, community, recreation, outdoor, play, self-care, family, enjoyment, evaluation, leisure",N,N,,,Debbie,"Infant/Toddler, Early Years, School Age",
217,Child Health BC Hip Surveillance Program,Tanja,,"Check link; identify most useful resources, draft brief overview",13-May-21,,Internal,Child Health BC,2012,2018,https://www.childhealthbc.ca/initiatives/chbc-hip-surveillance-program-children-cerebral-palsy,23-Feb-22,"Clinicians, Families/caregivers",web link,Assessment,Learn About Assessments,Other Assessment Resources,,Find Assessment Services in BC,Assessment Services,Services for Specific Health Concers,Access Training on Assessments,E-learning Modules,,Hip surveillance pathway for children with cerebral palsy with resources for both clinicians and caregivers,Cerebral palsy ,"Bone, muscle, skin health","hip surveillance, hip displacement",Y,Available family resources,,,Tanja M.,All,BC
218,Child Life Department: BC Children's Hospital,Claire/Salina,,,,,Internal,BC Children's Hospital,unknown,2022,http://www.bcchildrens.ca/our-services/support-services/child-life,"May 3, 2022","families, caregivers, clinicians",web link,"Services, Supports & Community Resources",Find Care and Support Services in BC,Supports for Families,Child/Youth Support Groups,Find Care and Support Services in BC,Assessment and Treatment Services,BC Children's Hospital and Sunny Hill Health Centre Services,,,,"Certified Child Life Specialists at BC Children's Hospital make hospitalization a more positive experience for patients through play, therapeutic interventions, preparation, and creative arts.",All,"Behaviour, emotion, social skills, Play, recreation, physical activity","play, intervention, creative arts,  coping, hospitalization, procedures, child, teen, stress",N,,,,Cynthia,All,BC
219,Childhood Disability Link,Claire,,,,,External,Child Disability Link,,© 2016 - 2021,https://www.childhooddisability.ca/,"August 4, 2021","families, caregivers, clinicians",web link,,,,,,,,,,,"Directory of articles, therapies, videos, policies, communities about childhood disabilities",various disabilities,,"newsletters, articles, therapies, videos, policies, online communities, family support",N,,,,Diane W. ,All,Canada-Wide
221,Children & Youth With Support Needs: Government of British Columbia,Claire,,,,,External,"External, Government of British Columbia",,,https://www2.gov.bc.ca/gov/content/health/managing-your-health/child-behaviour-development/support-needs,"August 6, 2021","families, caregivers, clinicians, educators",web link,,,,,,,,,,,Information about specialized service and funding options that may be available for children or teens who have support needs and their families,various disabilities,,"eligibility requirements, qualify, children and youth with support needs, CYSN, staff, services, available, information, support, contact a local CYSN office, learn about other programs, austism spectrum disorder, complex health needs, fetal alcohol spectrum disorder, deaf, hard of hearing, deafblind, partially sighted, intellectual disabilites, school-aged therapy, contact your school district, info sheet, extra support, access services, children, teens, support needs, adapt, adjust, lead a full life, comunities, assessing and supporting your child's development, Sunny Hill Health Centre for Children, taxes, savings,  registered disability savings plan, federal tax credits and deductions for persons with disabilities, navigating the health care system, children and youth with support needs, contact information, autism, complex health needs, fetal alcohol spectrum disorder, deaf, hard of hearing, deafblind, blind and partially sighted, intellectual disabilities, school-aged therapy, extra support, taxes, savings",N,,,,BCAAN,All,BC
