"Only applicable to the Digital Team, Claire, Steph and Kim - Legend for rows 2 and 3: X = internal use only, ID = internal use AND column to be included in database created by the Digital Lab, E = external",,,,,,,,,"Allows us to identify objects that are duplicated in the database, and link Digital Lab-generated ID#s to the objects in this spreadsheet",These are the titles of the objects; can include terms in search filter; include on blade,This column lets us know what work needs to be done for the object to be web-ready ,"Part of algorthim prompting updates to content, so the appropriate person is alerted/contacted",Use for algorithm to prompt updates to objects. These would be back-up people to support updates,"only relevant when the object is not yet web-ready, or needs revisions (does not need to be part of database). ",internal use to allow us to track progress on updates to make objects web-ready,For new or not yet updated content: ,Include in algorithm to prompt updates so we know where to go  (i.e. the program is responsible for maintaining the object),Info to include on blade,Info to include on blade,Exclude from search terms; Content - include on blade,Exclude from search term; Content - include on blade,Exclude from search terms; Include on blade to allow users to access the external resource,For algorithm to prompt us to update object for currency,Primary toggle/filter,Advanced search/filter,,For internal use so the person uploading the resource knows what type of file format to save it in or look for to upload,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Content to include on blade; exclude from search terms,Filter,Filter,Search terms,Filter,Toggle for audience (clinician vs. family),Recommended for you' tag (algorithm for proposing new resources for the user to explore),For internal use in the database.,Used within algorithm to prompt updates to objects - directs us to the relevant content expert,Filter,This information can populate a field on the 'blades' for each object,This is the order of resources as of 2021Sep9. Delete this when it's not needed anymore,Thumbnail images for each object for users to see when browsing,Content - object 'rating' based on accessibility characteristics. Rating levels TBD. Could be on the blades or could be an icon on the thumbnail view (advise as to which is best approach),"Exclude from search terms; filter, could be part of advanced search; can include as info on blade",
Vetting completed to criteria objectivity/conflict of interest,,,unsure,,,,,,282,Creative Arts Program: Arts Umbrella,,Claire,,,,,,Arts Umbrella,Arts Umbrella,,,https://www.artsumbrella.com/community-programs/more-free-community-programs/,"September 13, 2021","families, caregivers, children/youth, clinicians",All,Community program,web link,"Services, Supports and Community Resources",,,,,,,,,,"Services, Supports and Community Resources",Information about the Creative Arts Program,no specific diagnosis,,"BC Children’s Hospital, Vancouver School Board, Arts Umbrella, visual arts classes, British Columbia, children, teens, youth mental health unit, child psychiatric unit, ages five to 11, 5, youth psychiatric unit, ages 12 to 19, various art activities, visual art classes, Ronald McDonald House, British Columbia, Yukon, program, children, teens, undergoing treatment, illnesses, leukemia, brain tumours, cystic fibrosis",N,N/A,N/A,,Kim,All,BC and Yukon,498,,,,
Not fully tagged. Await response from program re: if they are going to include on their webpage or not. ,,,,,,,,,283,"Current State of Stem Cell Treatments for Cerebral Palsy: A Guide for Patients, Families, and Service Providers",Web-ready,Maddy,,,,,Tone Management,,,,,http://cpnet.canchild.ca/en/resources/276-current-state-of-stem-cell-treatments-for-cerebral-palsy-a-guide-for-patients-families-and-service-providers,"September 13, 2021","families, caregivers, children/youth, clinicians",All,,,Background,,,,,,,,,,Background,"A guide for patients, families, and service Providers about the current state of stem cell treatments for cerebral palsy.",cerebral palsy,,,,,,,,,N/A,1329,,,,
Vetting completed to criteria objectivity/conflict of interest,,,,,,,,,284,Cystic Fibrosis: BC Children's Hospital,Web-ready,Maddy,,,,,,"Internal, BC Children's Hospital",BC Children's Hospital,,,http://www.bcchildrens.ca/our-services/clinics/cystic-fibrosis,"September 20, 2021","families, caregivers, clinicians",All,,,"Services, Supports and Community Resources",,,,,,,,,,"Services, Supports and Community Resources","We diagnose and care for infants, children, adolescents and their families who are affected by cystic fibrosis",cystic fibrosis,,"cystic fibrosis, infants, children, adolescents, youth, school age, toddler, early years, families",N,N/A,N/A,,,All,BC,856,,,,
Jun-15-21,,,,,,,,,285,DCD Advocacy Toolkit,Web-ready,Maddy,N/A,,,,,"External, Canadian Association of Occupational Therapists",Canadian Association of Occupaitonal Therapists,,,https://www.caot.ca/site/rc/caot-bc/practiceresources/dcdcadvocacytoolkit?nav=sidebar,Jun-15-21,"families, caregivers, clinicians, educators",All,Website/page,web link,Community Supports and Services,,,,,,,,,,Community Supports and Services,"Advocacy letter templates for parents, teachers, and OTs to write to MLAs",,,developmental coordination disorder,N,N/A,N/A,,,,BC,288,,,,
Vetting completed to criteria objectivity/conflict of interest,,,,,,,,,286,Deaf & Hard of Hearing: Government of British Columbia,,,,,,,,"External, Government of British Columbia","External, Government of British Columbia",,,Deaf & Hard of Hearing - Province of British Columbia (gov.bc.ca),"August 6, 2021","families, caregivers, clinicians",all,Program,web link,Community Supports and Services,,,,,,,,,,Community Supports and Services,Information about Provincial Deaf and Hard of Hearing Services (PDHHS),"deaf, hard of hearing",,"Families with deaf and hard of hearing children,
Youth and young adults planning for their future,
Dorm students attending B.C. School for the Deaf,
Connection to community services and family networks,
Family navigation and professional consultation, provincial family services, Victory Hill Dorm, Provincial Deaf & Hard of Hearing Services brochure, UN Rights of the Child (ASL), #WhyISign, stay connected, other services, B.C. Family Hearing Resource Society, B.C. Hands & Voices, Canadian Deafblind Association - B.C. Chapter, CHAA-BC Youth Peer Support Progra, Child, Youth and Families Well Being Program, Children's Hearing & Speech Centre of B.C., Deaf Children's Soceity of B.C., Family Network for Deaf Children, Island Deaf and Hard of Hearing Centre, Provincial Outreach Program Deaf and Hard of Hearing, contact information",N,N,N,,,All,BC,391,,,,
Vetting completed to criteria objectivity/conflict of interest,,,unsure,,,,,,287,"Deaf, Hard of Hearing, Deafblind, Blind & Partially-Sighted: Government of British Columbia",,,,,,,,"External, Government of British Columbia","External, Government of British Columbia",,,https://www2.gov.bc.ca/gov/content/health/managing-your-health/child-behaviour-development/support-needs/deaf-hard-of-hearing-deafblind-blind-partially-sighted,"August 6, 2021","families, caregivers, clinicians",all,Program,web link,Community Supports and Services,,,,,,,,,,Community Supports and Services,"Services that offer diverse and multicultural opportunities for your child identified as deaf, hard of hearing, blind or partially-sighted.","deaf, hard of hearing, blind, partially-sighted",,"support for children who are deaf or hard of hearing, support for parents of blind or partially-sighted children",N,N,N,,,All,BC,390,,,,
Inquire with Kim re: source (copyright),,,2005,,,,,,288,Deafness and the Art of Psychometric Testing,,Claire,,,,,,The British Psychological Society,Jim Cromwell,2005,,https://thepsychologist.bps.org.uk/volume-18/edition-12/deafness-and-art-psychometric-testing,"September 9, 2021",Clinicians,all,Journal article,web link,Assessment ,,,,,,,,,,Assessment ,Jim Cromwell on some tricky problems psychologists can face testing deaf people who use sign language,Deafness,,"deafness, sign language, testing, assessment",N,N/A,N/A,,Jen E.,All,,853,,,,
Vetting completed to criteria objectivity/conflict of interest,,,unsure,,,,,,289,Dentistry at BC Children's,Web-ready,Claire,N/A,,,,,"Internal, BC Children's Hospital",BC Children's Hospital,,© 2021,http://www.bcchildrens.ca/our-services/clinics/dentistry,"August 3, 2021","families, cargiveres, clinicians",All,Website/page,web link,Community supports & resources,,,,,,,,,,Community supports & resources,Specialized dentistry services,various disabilities,,"dentistry, oral health",N,N/A,N/A,,Angie I. ,All,BC,94,,,N/A,
,,,,,,,,,290,Detailed Assessment of Speed of Handwriting (DASH),,Lex,"Tanja, Debbie",,,,,Internal,"A Barnett, SE Henderson, B Scheib, J Schulz
                                    ",Tool 2006,,see Ax Info Card spreadsheet for associated links,"July 16, 2021",Clinicians,OT,Info Card,Ax Toolkit entry,"Assessment, Diagnosis & Monitoring",,,,,,,,,,"Assessment, Diagnosis & Monitoring"," Used to analyse the speed and legibility of a person's handwriting. Two versions available one for children 9-16 years, the other for young adults 17-25 years (DASH 17+).",Children with difficiulties with handwriting,"Handwriting, fine motor, dexterity","Handwriting, speed, legibility, dyslexia, dyspraxia, dysphagia, stroke, cerebral palsy, muscular dystrophy, copy best, alphabet writing, copy fast, graphic speed (supplementary/optional task), free writing",N,N,,,"Debbie, Tanja","School Age, Youth",N/A,657,,,original sources,
Vetting completed to criteria objectivity/conflict of interest.,,,2016,,,,,,291,Development and Assessment of Children with Visual Impairments,Ready for Upload but resource includes Adobe-flash videos that are no longer enabled,Tanja,,,N/A,19-May-21,,Sunny Hill,Sunny Hill,?,1-Feb-16,https://learninghub.phsa.ca/Learner/CourseDetail?CourseID=5022,19-May-21,Clinicians,All,e-learning module/course,Learning module,Assessment,,,,,,,,,,Assessment,Background on visual impairment in children,Visual impairment,Vision,"Information tool, teaching tool, Visual impairment, children",Y,N,N,,,All,,531,,,Advanced,
Vetting completed to criteria objectivity/conflict of interest.,,,2016,,,,,,291,Development and Assessment of Children with Visual Impairments,Ready for Upload but resource includes Adobe-flash videos that are no longer enabled,Tanja,,,N/A,19-May-21,,Sunny Hill,Sunny Hill,?,1-Feb-16,https://learninghub.phsa.ca/Learner/CourseDetail?CourseID=5022,19-May-21,Clinicians,All,e-learning module/course,Learning module,Background (Learn about health conditions),,,,,,,,,,Background (Learn about health conditions),Background on visual impairment in children,Visual impairment,Vision,"Information tool, teaching tool, Visual impairment, children",Y,N,N,,,All,,531,,,Advanced,
June 23-21,,,,,,,,,292,Development of a clinical measure of postural control for assessment of adaptive seating in children with neuromotor disabilities,web-ready,Debbie,,,,,,Publisher,"SHHC clinicians and researchers including Lori Roxborough, Debbie F. ",1991,,https://academic.oup.com/ptj/article-abstract/71/12/981/2728746,May 27-21,"clinicians, researchers","OT, PT, HCP students",weblink to journal article,"webpage, weblink, downloadable pdf",Assessment,,,,,,,,,,Assessment,research article describing the development and initial evaluation of the SPCM and LSS,those with motor impairment that affects sitting abilities,"Sitting Posture, Postural Control, hand use, head control, trunk control, Outcome Measure","sitting ability, seating, sitting balance, postural support, body alignment, functional ability, measurement, evaluation, goal-setting,",N,,,,Debbie,,N/A,745,,,all,
June 23-21,,,,,,,,,292,Development of a clinical measure of postural control for assessment of adaptive seating in children with neuromotor disabilities,web-ready,Debbie,,,,,,Publisher,"SHHC clinicians and researchers including Lori Roxborough, Debbie F. ",1991,,https://academic.oup.com/ptj/article-abstract/71/12/981/2728746,May 27-21,"clinicians, researchers","OT, PT, HCP students",weblink to journal article,"webpage, weblink, downloadable pdf",Intervention,,,,,,,,,,Intervention,research article describing the development and initial evaluation of the SPCM and LSS,those with motor impairment that affects sitting abilities,"Sitting Posture, Postural Control, hand use, head control, trunk control, Outcome Measure","sitting ability, seating, sitting balance, postural support, body alignment, functional ability, measurement, evaluation, goal-setting,",N,,,,Debbie,,N/A,746,,,all,
,,,,,,,,,293,Developmental Coordination Disorder,Web-ready,Maddy,N/A,,,,,"Internal, Sunny Hill Health Centre",Sunny Hill Health Centre,,© 2021,http://www.bcchildrens.ca/our-services/sunny-hill-health-centre/our-services/developmental-coordination-disorder,4-Jun-21,"families, caregivers, clinicians",All,Website/page,web link,Assessment,,,,,,,,,,Assessment,Diagnostic assessments for those with suspected DCD,DCD,,"assessment, DCD, developmental coordination disorder",N,N/A,N/A,,,,N/A,837,,,,
,,,,,,,,,294,Developmental Coordination Disorder Questionnaire 2007 (DCDQ-07),,Lex,"Tanja/ Jill Z., Debbie",,,,,Internal,"B.N. Wilson, S.G. Crawford", Tool 1999,Tool 2007,see Ax Info Card spreadsheet for associated links,"July 13, 2021","Clinicians, families, caregivers","OT, PT",Info Card,Ax Toolkit entry,"Assessment, Diagnosis & Monitoring",,,,,,,,,,"Assessment, Diagnosis & Monitoring",A brief parent questionnaire designed to screen for coordination disorders in children.,Children with motor challenges,"fine motor skills, gross motor skills, coordination, motor skills","control during movement, fine motor and handwriting, general coordination, throws ball, catches ball, hits ball/birdie, jumps over, runs, plans activity, writing fast, writing legibly, effort and pressure, cuts, likes sports, learning new skills, quick and competent, ""bull in shop,"" does not fatigue ",N,N,,,"Debbie, Tanja","Early Years, School Age, Youth",N/A,653,,,original sources,
Vetting completed to criteria objectivity/conflict of interest,,,unknown,,,,,,295,Developmental Disabilities Association,Web-ready,Claire,N/A,,,,,"External, Developmental Disabilities Association",Developmental Disabilities Association,,© 2021,https://www.develop.bc.ca/,"August 3, 2021","families, caregivers, children/youth, clinicians",All,Website/page,web link,Community supports & resources,,,,,,,,,,Community supports & resources,"Community based programs for children/youth and adults with developmental disabilities, and their families",various disabilities,,"home visits, assessments, motor screening, physiotherapy, childcare, leisure and social programs, respite, family support",N,N/A,N/A,,Leslie L. ,All,BC,82,,,N/A,
Vetting completed to criteria objectivity/conflict of interest,,,unsure,,,,,,296,Developmental Disabilities Mental Health (DDMH): Northern Health,Web-ready,Claire,,,,,,"External, Northern Health",Northern Health,,,https://www.northernhealth.ca/services/mental-health-substance-use/programs-and-services#developmental-disabilities-mental-health-ddmh,"August 4, 2021","families, caregivers, clinicians",all,Program,Web link,"Services, Supports, and Community Resources",,,,,,,,,,"Services, Supports, and Community Resources","The DDMH program provides assessment, consultation, and short term treatment services to individuals 14 and older who meet the diagnostic criteria for a developmental disability (IQ of 70 or below) and who have a mental illness and/or challenging behaviours","various disabilities, developmental disability, mental illness, challenging behaviours",,,N,N,N,,,"School Age, Youth",BC,348,,,,
Vetting completed to criteria objectivity/conflict of interest,,,unsure,,,,,,296,Developmental Disabilities Mental Health (DDMH): Northern Health,Web-ready,Claire,,,,,,"External, Northern Health",Northern Health,,,https://www.northernhealth.ca/services/mental-health-substance-use/programs-and-services#developmental-disabilities-mental-health-ddmh,"August 4, 2021","families, caregivers, clinicians",all,Program,Web link,Assessment,,,,,,,,,,Assessment,"The DDMH program provides assessment, consultation, and short term treatment services to individuals 14 and older who meet the diagnostic criteria for a developmental disability (IQ of 70 or below) and who have a mental illness and/or challenging behaviours","various disabilities, developmental disability, mental illness, challenging behaviours",,,N,N,N,,,"School Age, Youth",BC,348,,,,
