,,,,,,,,,"Allows us to identify objects that are duplicated in the database, and link Digital Lab-generated ID#s to the objects in this spreadsheet",These are the titles of the objects; can include terms in search filter; include on blade.,This column lets us know what work needs to be done for the object to be web-ready ,"Part of algorthim prompting updates to content, so the appropriate person is alerted/contacted",Use for algorithm to prompt updates to objects. These would be back-up people to support updates,"only relevant when the object is not yet web-ready, or needs revisions (does not need to be part of database). ",internal use to allow us to track progress on updates to make objects web-ready,For new or not yet updated content: ,Include in algorithm to prompt updates so we know where to go  (i.e. the program is responsible for maintaining the object),Info to include on blade,Info to include on blade,Exclude from search terms; For internal use only (no longer to appear on the blade),Exclude from search term; Content - include on blade,Exclude from search terms; Include on blade to allow users to access the external resource,For algorithm to prompt us to update object for currency,,"No longer using this tag, in order to simplify the user experience",This info appears on the blade but no longer being used as a filter in order to simplify the user experience,For internal use so the person uploading the resource knows what type of file format to save it in or look for to upload,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,For team to reference when tagging information hierarchy,Content to include on blade; exclude from search terms,Filter,Filter,Search terms,Filter,Toggle for audience (clinician vs. family),Recommended for you' tag (algorithm for proposing new resources for the user to explore),For internal use in the database.,Used within algorithm to prompt updates to objects - directs us to the relevant content expert,Filter,This information can populate a field on the 'blades' for each object,This is the order of resources as of 2021Sep9. Delete this when it's not needed anymore,Thumbnail images for each object for users to see when browsing,Content - object 'rating' based on accessibility characteristics. Rating levels TBD. Could be on the blades or could be an icon on the thumbnail view (advise as to which is best approach),"Exclude from search terms; filter, could be part of advanced search; can include as info on blade",
June 23-21,,,not sure when created but should be updated,,,,,,135,Beginning Power Mobility Therapist (Power Point Presentation),"Web-ready, but may benefit from updating in  near future",Debbie,Roslyn L. ,"review & update content, acknowledge author ",,,,Internal,Roslyn L. ,,,www.seatingandmobility.ca/Libraries/powerpoint_presentations/Beginning_Power_Mobility_Therapist_presentation.sflb.ashx,May 31-21,"families, caregivers, clinicians, educators","OT, PT, Drs, HCP students",powerpoint presentation,powerpoint presentation,,,,,,,,,,,Assessment,powerpoint presentation introducing benefits of power mobility use for young children and dispelling myths with research evidence ,"young children who have or are risk of developmental delays and/or challenges with self-initiated, independent movement","wheelchair use, mobility, sitting posture, postural control, learning, ","power mobility, power wheelchair, ride-on toys, switches, postural support, learning, social interaction, play, development",Y,,,Current seatingandmobility.ca topic/webpage: Power Mobility Articles/presentations,Debbie,,N/A,1075,,,all,
June 23-21,,,not sure when created but should be updated,,,,,,135,Beginning Power Mobility Therapist (Power Point Presentation),"Web-ready, but may benefit from updating in  near future",Debbie,Roslyn L. ,"review & update content, acknowledge author ",,,,Internal,Roslyn L. ,,,www.seatingandmobility.ca/Libraries/powerpoint_presentations/Beginning_Power_Mobility_Therapist_presentation.sflb.ashx,May 31-21,"families, caregivers, clinicians, educators","OT, PT, Drs, HCP students",powerpoint presentation,powerpoint presentation,,,,,,,,,,,Intervention,powerpoint presentation introducing benefits of power mobility use for young children and dispelling myths with research evidence ,"young children who have or are risk of developmental delays and/or challenges with self-initiated, independent movement","wheelchair use, mobility, sitting posture, postural control, learning, ","power mobility, power wheelchair, ride-on toys, switches, postural support, learning, social interaction, play, development",Y,,,Current seatingandmobility.ca topic/webpage: Power Mobility Articles/presentations,Debbie,,N/A,1076,,,all,
Double check re: resource type. Does program/service fit?,,,,,,,,,136,Benefits: First Nations Health Authority,,Claire,,,,,,External,First Nations Health Authority,,,https://www.fnha.ca/benefits,"September 1, 2021","families, caregivers, clinicians",all,Program/service,web link,,,,,,,,,,,"Services, Supports, and Community Resources","​​Information about the First Nations Health Authority (FNHA) Health Benefits Program, which provides status First Nations people living in BC with a comprehensive and community-driven health benefits plan",,,"health benefits, COVID-19, pandemic, health benefits guide, ambulance bills, appeals, dental, eligibility, medical services plan, msp, medical supplies, equipment, medical transportation, mental health providers, news, pharmacy, pharmacy providers, reimbursements, vision care",N,N/A,N/A,,Karen H. ,All,BC,511,,,,
,,,,,,,,,137,Best Practice Recommendations for the Prevention and Management of Pressure Injuries,update title,Debbie,,update title to BEST PRACTICE  RECOMMENDATIONS for the Prevention and Management of Pressure Injuries; update link to https://www.woundscanada.ca/health-care-professional/publications/dfc-2,,,,External,WoundsCANADA,2017,2021,https://www.woundscanada.ca/health-care-professional/publications/dfc-2,May 20-21,"clinicians, researchers, policy makers","OT, PT, Drs, Nurses, HCP students",guideline; webpage to downloadable pdfs,"webpage, pdf ",,,,,,,,,,,Assessment,"specialized knowledge regarding wound care including pressure injury and moisture associated skin damage etiology, assessment, prevention and interventions; best practice additional resources link to specific assessment tools",those that encompass restricted body movement ,Skin Health; Pressure injury Prevention and Management; Moisture-associated Skin Damage Prevention and Management; Sitting Posture; Lying Posture; Seating; Wheelchair Use; Beds and Mattresses,"skin health, pressure injury; pressure sore; pressure ulcer; wounds; seating; sitting posture; lying posture; positioning; wheelchair; cushions; equipment; prescription; anatomy; physiology; healing; outcomes; goal-setting; nutrition; pain",N,,,Current SeatingandMobility.ca topic/webpage: Pressure Management Guidelines,Debbie,,N/A,563,,,all,
,,,,,,,,,137,Best Practice Recommendations for the Prevention and Management of Pressure Injuries,update title,Debbie,,update title to BEST PRACTICE  RECOMMENDATIONS for the Prevention and Management of Pressure Injuries; update link to https://www.woundscanada.ca/health-care-professional/publications/dfc-2,,,,External,WoundsCANADA,2017,2021,https://www.woundscanada.ca/health-care-professional/publications/dfc-2,May 20-21,"clinicians, researchers, policy makers","OT, PT, Drs, Nurses, HCP students",guideline; webpage to downloadable pdfs,"webpage, pdf ",,,,,,,,,,,Intervention,"Describes skin health, normal changes with aging, anatomy, physiology and healing cycle of wounds (pressure injuries), best practice guidelines about specialized wound care knowledge including pressure injury and moisture associated skin damage etiology, assessment, prevention and interventions; additional resources link to specific assessment tools",those that encompass restricted body movement ,Skin Health; Pressure injury Prevention and Management; Moisture-associated Skin Damage Prevention and Management; Sitting Posture; Lying Posture; Seating; Wheelchair Use; Beds and Mattresses,"skin health, pressure injury; pressure sore; pressure ulcer; wounds; seating; sitting posture; lying posture; positioning; wheelchair; cushions; equipment; prescription; anatomy; physiology; healing; outcomes; goal-setting; nutrition; pain",N,,,Current SeatingandMobility.ca topic/webpage: Pressure Management Guidelines,Debbie,,N/A,564,,,all,
"June 22, 2021",,,,,,,,,138,Beyond the WISC: Psychological assessment of cognitive functioning in special populations,Web-ready,Tanja,Jen E. ,add,n/a,26-May-21,,External,Jen E. (BC Campus Open Education),june 28 2019,june 28 2019,https://pressbooks.bccampus.ca/jengle/,16-Feb-22,Clinicians,Psychologists,Book,Non-fillable PDF,Assessment,Learn About Assessments,Other Assessment Resources,Assessment Handbooks,,,,,,,Assessment,Resources for individuals completing psycho-educational (cognitive) assessments in children with neuromotor conditions such as cerebral palsy,Cerebral palsy ,"Thinking, cognition","cognition, neuromotor, cerebral palsy, psychoeducational assessment",N,N,N,,,All,N/A,726,,,Advanced,
Vetting completed to criteria objectivity/conflict of interest,,,,,,,,,139,Boys and Girls Clubs (BGC) Canada,Web-ready,Tanja,,add,n/a,27-May-21,,External,Boys and Girls Clubs (BGC) Canada,?,2021,https://www.bgccan.com/en/,16-Feb-22,Families/caregivers,All,Website,web link,"Services, Supports & Community Resources",Find Care and Support Services in BC,Supports for Families,Family/Caregiver Support Groups,Find Care and Support Services in BC,Supports for Families,Child/Youth Support Groups,Find Care and Support Services in BC,Supports for Families,Self-Care Resources,"community supports and services,","Information about BGC Canada (previously Boys and Girls Club of Canada) which provide safe, supportive places where children and youth can experience new opportunities, overcome barriers, build positive relationships, and develop confidence and skills for life.",All,"Behaviour, emotion, social skills, Play, recreation, physical activity","club, children, teens, opportunities, community activity programs",N,N,N,,Bill M.,All,Canada,25,,,Introductory,
,,,,,,,,,140,Biking,,Tanja,Amber P./Andrea,Integrate evidence and update for currency,,,Therapeutic Recreation,Internal,,,,,,,,,,,,,,,,,,,,Intervention,,,,,,,,,,,,,,,,
Vetting completed to criteria objectivity/conflict of interest,,,,,,,Y,,141,Blind Beginnings,Web-ready,Maddy,,,,,,External,Blind Beginnings,,,https://www.blindbeginnings.ca,06-Dec-21,"families, caregivers, children/youth, clinicians, educators",All,Website,web link,"Services, Supports & Community Resources",Recreation and Leisure Activities,Summer Camps,,Age and Healthcare Transitions,Youth to Adulthood,Post-Secondary Education and Employment Resources,Find Care and Support Services in BC,Supports for Families,Family/Caregiver Support Groups,Community Supports & Services,"Programs, experiences, counselling and support groups for children and youth who are blind or partially sighted and their families",,,"blind, program, workshop, training, employment, recreation, activities, counselling, skills, confidence, independence, family support, early intervention, leadership, education, events, podcast, books, games, activities, toys",N,N,N,,,All,BC,431,,,Introductory,
Vetting completed to criteria objectivity/conflict of interest,,,,,,,,,142,Blind or Partially-sighted Children: Government of British Columbia,,,,,,,,External,"External, Government of British Columbia",,,https://www2.gov.bc.ca/gov/content/health/managing-your-health/child-behaviour-development/support-needs/deaf-hard-of-hearing-deafblind-blind-partially-sighted/blind-partially-sighted-children,"August 6, 2021","families, caregivers, clinicians",all,Program,web link,,,,,,,,,,,Community Supports and Services,Information about services for blind or partially-sighted children (birth to school-aged) ,"blind, partially sighted",,"Vision Loss Rehabilitation Canada (VLRC-BC), Children's Low Vision Project of British Columbia, Blind Beginnings, Canadian Deafblind Association BC Chapter",N,N,N,,,All,BC,392,,,,
11-Jun-21,,,,,,,Y,,143,Book Share Time,Web-ready,Maddy,N/A,,,,,External,Book Share Time,© 2021,,https://booksharetime.com/,6-Dec-21,"families, caregivers, educators",All,Website,web link,"Services, Supports & Community Resources",Age and Healthcare Transitions,Preschool to School,,,,,,,,Community Supports and Services,A selection of books for encouraging speech and language development in children,,,"speech, language, speech language pathology, reading, literacy",N,N/A,N/A,,,,Universal,263,,,,
"June 22, 2021",,,,,,,,,144,Bruininks-Oseretsky Test - 2nd Edition (BOT-2),Ready for upload,Debbie,"Lex, Debbie",NA,,,,Internal – Evidence Centre,"Robert H. Bruininks & Brett D. Bruininks
                                    ",Tool 2005,,see Ax Info Card spreadsheet for associated links,20-May-21,Clinicians,"Physical therapist, Occupational therapist",Assessment Info Card,Ax Toolkit entry,Assessment,Learn About Assessments,Assessment Toolkit,,,,,,,,"Assessment, Diagnosis & Monitoring",screens for motor difficulties and need for further assessment or intervention; supports diagnosis for motor difficulties,All,"Hand, arm use, printing, Positioning, mobility, lower body, Play, recreation, physical activity","fine motor, gross motor, dexterity, balance, agility, strength, coordination, motor control, physical therapy, occupational therapy",N,N,BOT-2 Bruininks-Oseretsky Test - 2nd Edition E4P,,Tanja/Debbie,"School age, Early years",N/A,634,,,Advanced,
June 23-21,,,,,,,,,146,Braden Q Intervention Guide: Sunny Hill Health Centre,these Braden Q documents are the ones that C&W has adopted (modified version)- not sure if we want to/can make them accessible outside of the institution's network,Debbie,,,,,,Internal,,,,http://policyandorders.cw.bc.ca/resource-gallery/Documents/BC%20Children's%20Hospital/CC.16.01.A%20Braden%20Q%20Intervention%20Guide.pdf,May 28-21,"clinicians, researchers","OT, PT, Dr, Nurse, HCP students",policy document,,,,,,,,,,,,Assessment,,those that encompass restricted body movement or who are at risk for pressure ulcers,Skin Health; Pressure injury Prevention and Management; Sitting Posture; Lying Posture; Seating; Wheelchair Use;,"pressure injury; pressure sore; pressure ulcer; wounds; measurement, evaluation, pain, nutrition, positioning; wheelchair; equipment;  healing; goal-setting, risk assessment",N,,,,Debbie,,N/A,776,,,all,
June 23-21,,,,,,,,,146,Braden Q Intervention Guide: Sunny Hill Health Centre,these Braden Q documents are the ones that C&W has adopted (modified version)- not sure if we want to/can make them accessible outside of the institution's network,Debbie,,,,,,Internal,,,,http://policyandorders.cw.bc.ca/resource-gallery/Documents/BC%20Children's%20Hospital/CC.16.01.A%20Braden%20Q%20Intervention%20Guide.pdf,May 28-21,"clinicians, researchers","OT, PT, Dr, Nurse, HCP students",policy document,,,,,,,,,,,,Intervention,,those that encompass restricted body movement or who are at risk for pressure ulcers,Skin Health; Pressure injury Prevention and Management; Sitting Posture; Lying Posture; Seating; Wheelchair Use;,"pressure injury; pressure sore; pressure ulcer; wounds; measurement, evaluation, pain, nutrition, positioning; wheelchair; equipment;  healing; goal-setting, risk assessment",N,,,,Debbie,,N/A,777,,,all,
June 23-21,,,,,,,,,148,Braden QD Scale / Braden Q Scale ,Ready for upload,Debbie,,,,,,Internal – Evidence Centre,"Martha A.Q. Curley, Natalie R. Hasbani, Sandy M. Quigley, Judith J. Stellar, Tracy A. Pasek, Stacey S. Shelley, Lindyce A. Kulik, Tracy B. Chamblee, Mary Anne Dilloway, Catherine N. Caillouette, Margaret A. McCabe, David Wypij",Tool 2018,,see Ax Info Card spreadsheet for associated links,May 28-21,"clinicians, researchers","OT, PT, Dr, Nurse, HCP students",Assessment Info Card,Ax Toolkit Entry,Assessment,Learn About Assessments,Assessment Toolkit,,,,,,,,Assessment,"Braden QD assesses risk for immobility-related and medical device–related pressure injury risk in pediatric patients.  BC Children's Hospital and Sunny Hill Health Centre have adopted a modified version of the Braden Q Scale and have created internal documents to support its use available on their intranet. Braden QD Scale developer's website has freely available downloadable versions in English, French Canadian, Chinese, Korean, Thai, Portuguese, Italian, Finnish, Danish,  French. Also links to Braden QD Self-Learning Module.",All,"Bone, muscle, skin health, Pain, Positioning, mobility, lower body","pressure injury, pressure sore, pressure ulcer, wound, measurement, nutrition, healing, risk assessment, posture, seating ",N,N,N/A,,Debbie,All,N/A,774,,,all,
